variable,IV,n_bins,dtype,predictive_power
ratings_num_9m_prior,0.4390790696386428,13,numerical,Strong
ratings_num_12m_prior,0.4310317923746487,11,numerical,Strong
ratings_num_3m_prior,0.4228081494189465,12,numerical,Strong
ratings_num_6m_prior,0.4195023125820071,11,numerical,Strong
user_ratings_total,0.39127765651155255,14,numerical,Strong
ratings_num_1m_prior,0.3858143968757441,12,numerical,Strong
rating_pl,0.3857669059152072,14,numerical,Strong
lang_pl_count,0.3664226533523397,14,numerical,Strong
ratings_avg_9m_prior,0.3388165963477814,12,numerical,Strong
ratings_avg_6m_prior,0.33879601104969137,12,numerical,Strong
rating_foreign,0.32896502720055204,15,numerical,Strong
ratings_avg_1m_prior,0.32404630177519056,10,numerical,Strong
ratings_avg_3m_prior,0.31545077419983514,12,numerical,Strong
polarization,0.30206065127127824,10,numerical,Strong
review_trend,0.2828372874487611,10,numerical,Medium
ratings_avg_12m_prior,0.2801439163957533,8,numerical,Medium
tagcat_amenities,0.2700994330738763,10,numerical,Medium
place_age_days_sq,0.25235730341545687,12,numerical,Medium
place_age_days,0.25235730341545687,12,numerical,Medium
first_review_year_max,0.24463690856156897,10,numerical,Medium
price_level_missing,0.23416104858008863,4,categorical,Medium
rating_mean_foreign,0.21997529936763005,10,numerical,Medium
tagcat_atmosphere,0.20017128165138023,7,numerical,Medium
rating_mean_lang_ratio,0.19496887946881208,11,numerical,Medium
rating_mean_pl,0.15905962135487967,12,numerical,Medium
rating_4,0.1327772697006372,6,numerical,Medium
price_level_2,0.12936649721453847,4,categorical,Medium
rating_3,0.12851850754940058,9,numerical,Medium
tagcat_offerings,0.12163253267332924,7,numerical,Medium
rating_std,0.1174294018888553,13,numerical,Medium
foreign_lang_share,0.1158765343754608,13,numerical,Medium
review_length_std,0.11025016150956547,13,numerical,Medium
review_has_text_pct,0.10262252843503983,11,numerical,Medium
rating_2,0.09733040467253887,8,numerical,Weak
rating_cv,0.09242251273851199,12,numerical,Weak
tagcat_social_inclusivity,0.0859458439083397,5,numerical,Weak
review_length_avg,0.08555698616462272,13,numerical,Weak
rating_avg,0.06503776839516234,11,numerical,Weak
