model,balanced_accuracy_mean,balanced_accuracy_std,features_used
PowerTransformer + L2 ★,0.6852,0.0036,106
PowerTransformer + ElasticNet,0.6849,0.0049,106
PowerTransformer + L1,0.6838,0.0051,106
"ElasticNet (C=0.1, l1=0.75)",0.6791,0.0028,106
StandardScaler + ElasticNet,0.6791,0.0028,106
Ridge (L2),0.6787,0.0044,106
StandardScaler + L2,0.6787,0.0044,106
Logistic pura (no penalty),0.6786,0.0046,106
LASSO (L1),0.6784,0.0042,106
StandardScaler + L1,0.6784,0.0042,106
SVC RBF (C=0.1),0.676,0.0081,106
PowerTransformer + ElasticNet (old),0.6695,0.0083,105
Baseline Logistic (old),0.6566,0.0103,105
SVC RBF (old),0.6522,0.0056,105
KNN (old),0.5224,0.0041,105
KNN (k=5),0.5175,0.0039,106
